Gene stable ID	Gene description	Phenotype description	Gene name
ENSG00000196126	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	Narcolepsy type 1	HLA-DRB1
ENSG00000196126	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	Narcolepsy type 2	HLA-DRB1
ENSG00000196126	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	Pediatric multiple sclerosis	HLA-DRB1
ENSG00000196126	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	Sarcoidosis	HLA-DRB1
ENSG00000196126	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	Systemic-onset juvenile idiopathic arthritis	HLA-DRB1
ENSG00000196735	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	CELIAC DISEASE SUSCEPTIBILITY TO 1	HLA-DQA1
ENSG00000196735	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	Adult-onset myasthenia gravis	HLA-DQA1
ENSG00000196735	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	Idiopathic achalasia	HLA-DQA1
ENSG00000197249	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	ALPHA-1-ANTITRYPSIN DEFICIENCY	SERPINA1
ENSG00000197249	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	PULMONARY DISEASE CHRONIC OBSTRUCTIVE	SERPINA1
ENSG00000197249	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	Hemorrhagic disease due to alpha-1-antitrypsin Pittsburgh mutation	SERPINA1
ENSG00000197253	tryptase beta 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14120]		TPSB2
ENSG00000197561	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	CYCLIC NEUTROPENIA	ELANE
ENSG00000197561	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	NEUTROPENIA SEVERE CONGENITAL 1 AUTOSOMAL DOMINANT	ELANE
ENSG00000197561	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	Autosomal dominant severe congenital neutropenia	ELANE
ENSG00000197747	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]		S100A10
ENSG00000197766	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	COMPLEMENT FACTOR D DEFICIENCY	CFD
ENSG00000197766	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	Recurrent Neisseria infections due to factor D deficiency	CFD
ENSG00000198355	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]		PIM3
ENSG00000198502	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]		HLA-DRB5
ENSG00000204257	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]		HLA-DMA
ENSG00000204287	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	Graham Little-Piccardi-Lassueur syndrome	HLA-DRA
ENSG00000206172	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	ALPHA-THALASSEMIA	HBA1
ENSG00000206172	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	ERYTHROCYTOSIS FAMILIAL 7	HBA1
ENSG00000206172	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	HEINZ BODY ANEMIAS	HBA1
ENSG00000206172	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	HEMOGLOBIN H DISEASE	HBA1
ENSG00000206172	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	METHEMOGLOBINEMIA ALPHA TYPE	HBA1
