"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"11","extracellular matrix part (GO:0044420)","28/127",7.54098905592988e-06,0.000450574096091811,4.65567240473214e-05,0.00202310128132906,-2.01445156834436,23.7607729405941,"LAMA5;ACHE;COL18A1;COL15A1;SPARC;LAMC3;ITGB4;COL14A1;COL11A1;LAMC1;NTN1;THSD4;ADAMTS10;TNR;SNCA;DST;ANXA2;LAMB2;HSPG2;COL1A1;MFAP4;COL1A2;CCDC80;COL5A1;COL4A1;COL4A5;FREM1;FBN1"
"12","axon (GO:0030424)","31/161",4.39015529095063e-05,0.00174874519089533,0.000167382588959927,0.00571491982306036,-1.99808311916209,20.0478885888743,"ACHE;NRP1;ROBO3;APP;NRP2;SEMA3A;LPAR3;GRM2;UCHL1;MYO6;NCS1;PALM;MYH14;NRCAM;NCAM2;EPHB2;SNCA;NTRK1;NTNG2;SLC38A1;FZD3;MME;DST;CADM1;PDE2A;DAB2IP;NOV;NFIB;BIN1;CNTN4;TNFRSF21"
"13","trans-Golgi network membrane (GO:0032588)","13/42",5.47392634499162e-05,0.00186895485207571,0.000358382952778311,0.0106511336579341,-1.99109586180091,19.538482941026,"CD74;HLA-DRB5;CLIP3;SCAMP5;MYO1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"14","proteinaceous extracellular matrix (GO:0005578)","41/239",4.95791176424821e-05,0.00182298601793127,0.000155354254078176,0.00571225641918216,-1.94783772161376,19.3068522394892,"LGALS3BP;ECM1;WNT2B;SPARC;ECM2;SERPINA1;HPSE2;LAMC3;COL14A1;CRISP3;LTBP1;CTGF;ADAMTS4;MMP25;ADAMTSL2;SPOCK3;MMP28;GPC3;TNR;SPOCK1;EMILIN2;CILP2;GPC4;ADAMTS9;CPA6;ADAMTS7;IMPG2;WNT10B;MMP7;VWF;MMP2;MAMDC2;CCDC80;MGP;OGN;CHI3L1;COL6A6;COL6A5;FMOD;GPLD1;FBN1"
"15","anchored component of membrane (GO:0031225)","29/150",7.06660323446171e-05,0.0022518908973818,0.000252438330643012,0.00804436813649067,-1.88966776692121,18.0605857534208,"RTN4R;ACHE;TFPI;EFNA5;MSLN;ART4;PRSS21;LYPD8;NT5E;MMP25;HYAL2;CA4;GPC3;CD59;GPC4;GGT5;NTNG2;CD52;GP1BA;XPNPEP2;CD109;ALPL;CDH13;GAS1;CNTN4;GGTA1P;MDGA2;ULBP2;RECK"
"16","cell-substrate junction (GO:0030055)","54/362",0.000179910386359259,0.00502142066000663,0.000378806008754977,0.0106511336579341,-2.08487055917632,17.9779465874866,"NCKAP1;NRP1;ITGB4;TGFB1I1;ITGB3;ITGA2B;FHL2;FHL3;RND3;CAPN5;ANXA6;TNS1;TGM2;ANXA1;MME;DST;AFAP1;KIF23;LMO7;HSPG2;RHOB;PROCR;CTTN;CDH13;ITGA7;TLN2;CD44;DDR2;SDC4;SYNPO2;PXN;CNN3;ARHGAP22;SLC9A3R2;RRAS;TSPAN9;TSPAN4;CD59;FLNC;CD99;FZD1;JUP;MCAM;SPRY4;L1CAM;IGF2R;AIF1L;MARCKS;DAB2;EHD3;PTK7;DLC1;ITGA11;FAT1"
"17","integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)","10/28",0.000103160825641968,0.00308192966605378,0.000686294258881929,0.0149113025338892,-1.88113482448526,17.2673529873021,"CD74;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"18","cell-substrate adherens junction (GO:0005924)","53/358",0.000248712249880828,0.00540383888377435,0.000501016216467399,0.0133047639706343,-1.96717046176098,16.325968543616,"NCKAP1;NRP1;TGFB1I1;ITGB3;ITGA2B;FHL2;FHL3;RND3;CAPN5;ANXA6;TNS1;TGM2;ANXA1;MME;DST;AFAP1;KIF23;LMO7;HSPG2;RHOB;PROCR;CTTN;CDH13;ITGA7;TLN2;CD44;DDR2;SDC4;SYNPO2;PXN;CNN3;ARHGAP22;SLC9A3R2;RRAS;TSPAN9;TSPAN4;CD59;FLNC;CD99;FZD1;JUP;MCAM;SPRY4;L1CAM;IGF2R;AIF1L;MARCKS;DAB2;EHD3;PTK7;DLC1;ITGA11;FAT1"
"19","external side of plasma membrane (GO:0009897)","33/191",0.000225008491372522,0.00537770294380328,0.000588141806598583,0.0138272800384006,-1.89721787724316,15.9354395072286,"GYPA;NLGN1;CXCL9;ROBO4;CD83;ITGA2B;CTSV;IL1RL1;ANPEP;S1PR1;FCER1A;NRCAM;GPC4;CD34;IL12RB2;CD74;ACE;VWF;MCAM;L1CAM;CXCL10;FCER2;CD4;BCAM;IL2RA;KIT;CDH13;MS4A2;CD44;CD244;HLA-DQB2;HLA-DRB1;UMODL1"
"20","kinesin complex (GO:0005871)","14/53",0.000192877345104666,0.00502142066000663,0.000822206702187682,0.0157205921458285,-1.81794416466398,15.549705584123,"KIF14;KIF23;KIF11;KIF17;KIF6;KIF15;CENPE;KIF18A;KLC3;KIF18B;KIF26B;KIF4A;KIF5A;KIF20A"
"21","focal adhesion (GO:0005925)","52/352",0.00029839123221432,0.00577716982121443,0.000588988259302302,0.0138272800384006,-1.91199986143525,15.5199037743077,"NCKAP1;NRP1;TGFB1I1;ITGB3;ITGA2B;FHL2;FHL3;RND3;CAPN5;ANXA6;TNS1;TGM2;ANXA1;MME;DST;AFAP1;KIF23;LMO7;HSPG2;RHOB;PROCR;CTTN;CDH13;TLN2;CD44;DDR2;SDC4;SYNPO2;PXN;CNN3;ARHGAP22;SLC9A3R2;RRAS;TSPAN9;TSPAN4;CD59;FLNC;CD99;FZD1;JUP;MCAM;SPRY4;L1CAM;IGF2R;AIF1L;MARCKS;DAB2;EHD3;PTK7;DLC1;ITGA11;FAT1"
"22","cell-cell junction (GO:0005911)","50/335",0.000302153233327115,0.00577716982121443,0.000607474646038521,0.0138272800384006,-1.87577748884756,15.2023817316947,"PTPRU;APP;PTPRM;F11R;SLC8A1;GJA4;BVES;SCN1B;CGNL1;MAGI1;PRKCG;TRPC6;PRKCH;CXADR;PLEKHG5;SHROOM3;FRMD4A;ANK2;LMO7;ANK3;ZAP70;KIT;PKP2;DSG2;TLN2;SSX2IP;VAMP5;KRT80;ABCB4;LIN7A;AKAP6;PRKCZ;PARD6B;MARVELD2;SV2A;EPB41L3;CTNNA3;PLCG1;KCNJ2;CADM1;JUP;PCDH9;CDC42BPA;MPP7;OCLN;PTK7;WNK3;FAT1;ESAM;FGFR4"
"23","ER to Golgi transport vesicle membrane (GO:0012507)","10/30",0.000199596218703192,0.00502142066000663,0.00106041914358095,0.0187733463196923,-1.75406214055359,14.9432309878557,"CD74;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"24","side of membrane (GO:0098552)","38/235",0.000318947983516859,0.0058637360046561,0.000727851837408709,0.0151266599252767,-1.81571223469881,14.6173596241348,"GYPA;NLGN1;CXCL9;ROBO4;CD83;ITGA2B;PTPN22;CTSV;IL1RL1;ANPEP;S1PR1;FCER1A;NRCAM;GPC4;CD34;IL12RB2;CD74;ACE;VWF;JUP;MCAM;L1CAM;GEM;SHROOM4;CXCL10;FCER2;CD4;BCAM;CACNB4;IL2RA;KIT;CDH13;MS4A2;CD44;CD244;HLA-DQB2;HLA-DRB1;UMODL1"
"25","Z disc (GO:0030018)","19/87",0.000239722441671976,0.00540383888377435,0.000813053963870573,0.0157205921458285,-1.74465332957112,14.5434803959295,"RYR2;DST;JUP;SYNPO2;FHL2;FHL3;ANK2;SLC4A1;ANK3;ANK1;SLC8A1;BAG3;BIN1;SCN8A;PDE4B;HRC;XIRP2;KCNN2;MYOZ3"
"26","synapse part (GO:0044456)","56/395",0.00051124159882315,0.00842667187025743,0.000889747381581593,0.0163576633998462,-1.84395998691823,13.9747610686458,"ACHE;DOC2A;CLSTN2;GRIK5;SLC40A1;STON2;GRM2;GRIP1;TRIM9;SIPA1L1;PCLO;NCS1;PSD3;DLGAP3;DLGAP2;GRASP;PPFIA3;UNC13B;PRKCG;MME;ANK2;SYP;ANK3;ANK1;SYTL4;SYN1;DNM3;ARC;PLCB4;SNPH;BIN1;IL1RAPL1;SHANK3;PFN2;SHANK1;NLGN1;CABP4;LRP4;LIN7A;SYNGR1;SV2A;SPOCK1;SNCA;NGFR;FZD3;GABBR1;PTPRN2;SYT2;CADM1;HOMER2;GABRA4;PDE2A;SEMA4F;L1CAM;GRIN2D;NMU"
"27","extracellular vesicular exosome (GO:0070062)","294/2717",0.000412305391235588,0.00729933248187448,0.000148167424573109,0.00571225641918216,-1.74489804693997,13.5992925965961,"SLC46A3;CPNE9;IFITM3;NCKAP1;CPNE8;APP;CPNE7;SLC4A1;F11R;ZDHHC1;ANTXR1;ANPEP;TNFSF10;THSD7A;VSIG4;PIP4K2C;ICOSLG;DYNC2H1;PRKCH;CACNA2D1;ARMC9;SLC6A13;CEL;CMBL;HSPG2;BCAM;SLPI;CRISPLD2;ZNF711;ATP6V0D2;CES3;GPLD1;CFB;PFN2;CFD;CETP;GYPA;ABCB6;CFH;SDC4;STXBP1;ABCB4;SMIM1;NEDD4L;KALRN;PRKCZ;EVPL;PPL;C2;C3;FAM171A1;RRAS;PCBP3;S100A16;PRKAR2B;PDGFD;TSPAN6;FIGNL1;MYO6;PDGFC;APOE;ELANE;S100A10;GSTM3;HLA-DRB5;ACE;CADM1;JUP;FUCA1;GP6;AIF1L;EHD2;COL1A2;H2AFY2;GIPC2;MYO5C;FAT1;SERPINI1;FAT4;PAM;HLA-DRB1;ITM2C;BEX5;ROBO2;DDR1;HIST2H2AA3;COL18A1;RYR2;ECM1;ROBO4;ACY3;PTPRS;TINAGL1;SERPINA1;SLC44A1;MAGEF1;HBB;GPT;PTH1R;CTSV;PTPRF;KHK;PTPRG;UCHL1;HBM;CTSL;NCS1;ANXA6;CTSG;HAVCR2;ANXA1;MME;ANXA2;IL18;SERPINB9;GP1BA;HBA1;RHOC;TMC5;F3;HIST2H2BE;RHOB;LAT2;FCER2;CTTN;OAF;PLSCR4;KCNMA1;FAM20A;PLCB1;VAMP5;CD44;DDR2;C1QB;HAAO;CD5L;FAM129A;GNAI1;NT5E;HLA-DMA;GPA33;GPC3;CILP2;CD59;GPC4;CKB;CD74;PKLR;GDF15;F12;AKR1C1;DAB2IP;AKR1C3;PDZK1IP1;TPPP3;HIST3H2A;KRT18;LRG1;KRT17;AXL;FRK;C1QC;KCNG2;STEAP4;PROS1;ITGA2B;PLOD2;HNMT;ALDH1L2;MPO;CDH6;AKR7A3;BASP1;TUBB1;CAPN5;FAM3B;HIST1H2AD;ENPP4;NUDT14;TGM3;PHLDA3;TGM2;PLS1;SLC38A1;SLC15A2;OSCAR;PROCR;FOLH1;RAB34;FSCN1;HIST1H2BD;PPIC;RTN4R;GNAZ;SUCNR1;BHLHB9;NPR3;LIN7A;LPO;AK4;TRHDE;SLC9A3R2;SLC9A3R1;SCIN;CLTCL1;MYH14;MYH11;ZG16B;RARRES2;EPHX2;CRIM1;IGF2R;SDK1;DAB2;COL5A1;REEP5;OGN;CDK1;ALPL;SCGB3A1;HLA-DRA;ESAM;FBN1;LGALS3BP;THRB;ITGB4;COL14A1;ITGB3;CRISP3;DBI;SLC2A3;CLEC14A;LAMC1;RND3;CA1;ALDH2;SPR;CA4;MAN1A1;PGM1;SLC13A3;AMN;MMP7;DST;VWF;BPGM;DNM1;DNM3;DDAH1;ALDH1A1;CHI3L1;CDH13;DSG2;DNASE2;IRF6;SMPDL3A;BLVRA;LAMA5;SMIM24;COL15A1;SEMA3C;HPGD;PCOLCE2;SEMA3G;SLC3A1;SLC5A10;UACA;THSD4;NCALD;SELENBP1;PARD6B;GNG2;SH3BP4;MEST;WASF3;PPIL1;LAMB2;AKR7L;BAIAP2;CDC42BPA;PTPN13;MYO1D;MFAP4;MYO1B;MARCKS;SH3D21;XPNPEP2;PSAT1;APOC2;MGP;APOC1;GALM;S100P;PFKM"
"28","contractile fiber part (GO:0044449)","29/167",0.000480998613751168,0.00821133347760923,0.00114699366754254,0.0195808204673334,-1.73180164727185,13.2303518215668,"RYR2;MYOM1;SDC4;SYNPO2;FHL2;FHL3;ATP2A1;SLC4A1;SLC8A1;BAG3;PDE4B;XIRP2;MYH11;KCNN2;MYOZ3;FLNC;DST;JUP;MMP2;TRPC1;TPM1;ANK2;ANK3;ANK1;MYL4;BIN1;SCN8A;HRC;TRIM32"
"29","clathrin-coated endocytic vesicle membrane (GO:0030669)","10/31",0.000270892880213975,0.00562986072792523,0.00130203969645863,0.0214612060312836,-1.50119993930396,12.3305366827499,"CD74;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"37","anchored component of plasma membrane (GO:0046658)","11/40",0.000635437933337236,0.00979804297210318,0.00221867158625749,0.0331414068197213,-1.12302459740485,8.266804329271,"GGT5;NTNG2;HYAL2;CA4;GPC3;GAS1;GP1BA;CD59;GGTA1P;EFNA5;ULBP2"
"387","nuclear envelope lumen (GO:0005641)","5/9",0.00055870354944799,0.0089020098878713,0.00375246541356468,0.0472597312720884,2.04552328542905,-15.3207475677361,"APP;ALOX5;HRASLS;IGF2R;PTGES"
